,ID,type,name,Vermin,stars,votes,safety
252,110878739,Boulder,Blue Duck,V1,3.0,2,
255,108129735,Boulder,Over Easy,V0-1,3.0,2,
258,108129761,Boulder,Sunny Side Up,V1,3.0,2,
259,108004054,Boulder,Rumspringa,V3-4,3.0,2,
260,107436991,Boulder,Progressive Work,V4,3.0,2,
261,107437002,Boulder,Lockjaw,V4,3.0,2,
263,108021658,Boulder,Kings Corner,V3,3.0,2,
264,107978440,Boulder,Carol,V3,3.0,2,
265,107835241,Boulder,Cynical Nihilist,V4,3.0,2,
266,107835190,Boulder,Twenty,V1-,3.0,2,
267,107835219,Boulder,Father Euc,V1,3.0,2,
268,107497267,Boulder,Courtyard Squeeze,V1,3.0,2,
270,119595939,Boulder,Bernz O' Matic,V0,2.8,5,
271,118968017,Boulder,Naked and Afraid,V2,3.0,1,
272,119375509,Boulder,Blue Canard,V2-3,3.0,1,
274,109759341,Boulder,Game of Thrones,V9-10,3.0,1,
275,107566188,Boulder,Sea Urchin,V2-,3.0,1,
276,111675531,Boulder,Zendetta,V8-9,3.0,1,
278,111516181,Boulder,Seams To Me,V6,3.0,1,
280,108706287,Boulder,Break a Leg,V9,3.0,1,
283,108935754,Boulder,The Warmup,V2,2.8,5,
284,108063568,Boulder,Edges Of Doom,V4,3.0,1,
286,108002465,Boulder,Abe's Oddysee,V6,3.0,1,PG13
287,107112826,Boulder,Backflip Project,V7-8,3.0,1,
293,108024197,Boulder,Two Buck Chuck,V3-4,3.0,1,
294,108216715,Boulder,Escalator to Heaven,V0,3.0,1,
295,108040567,Boulder,Undertaker,V3-4,3.0,1,
297,108137743,Boulder,Kingston Lean,V5,3.0,1,
298,108026050,Boulder,Two Dollar Deal,V4-5,3.0,1,
299,107827585,Boulder,Scatter Gun,V4,3.0,1,
300,107827574,Boulder,Lieback Frannie,V0,3.0,1,
301,107487842,Boulder,Another Day in Paradise,V2-3,3.0,1,
302,107437010,Boulder,Let Sleeping Dragons Lie,V5,3.0,1,
303,107497154,Boulder,Courtyard Slab,V1,3.0,1,
304,107497245,Boulder,Courtyard Face,V1,3.0,1,
305,107497251,Boulder,Corridor Face,V1-2,3.0,1,
306,107109769,Boulder,Slab at the End of the Universe,V0-,3.0,1,X
308,106622394,Boulder,Slick Manzanita,V1,3.0,1,
310,108298197,Boulder,Spontaneous Combustion,V2,2.6,8,
313,108298205,Boulder,Bodily Functions,V2,2.4,9,
316,113636879,Boulder,Dystopia,V9,2.7,3,
319,107473307,Boulder,All I Need is WUBs,V1-2,2.7,3,
320,107112717,Boulder,A Work in Progress,V2,2.7,3,
322,116223079,Boulder,Specks of Grease,V1-,2.5,6,
324,107473295,Boulder,"Jouney to the Land of Capes, Thongs, and Airbrushed Abs",V1-2,2.5,4,
328,107473301,Boulder,Traditionally Challenged,V0,2.5,2,
330,107058333,Boulder,Easy traverse,V0,2.5,2,
331,107835180,Boulder,Babylonian Dubsack,V1-2,2.5,2,
332,107835205,Boulder,Invasion,V1-,2.5,2,
333,120118797,Boulder,Green Bean,V1,2.3,3,
335,107109811,Boulder,Ramps are Rad,V0-,2.3,3,
336,107145091,Boulder,Belief,V0,2.0,4,
337,118981641,Boulder,Not Every Pony Grows Up to be a Pegasus,V7-,2.0,2,
342,108129862,Boulder,Fruit Bowl,V2,2.0,2,
345,111675588,Boulder,Double Dragon,V3,2.0,1,
349,107990570,Boulder,Pita Chip Stick Clip,V0,2.0,1,
351,107835304,Boulder,The Oracle,V7,2.0,1,
353,107827622,Boulder,Myth of Silenus,V3,2.0,1,
355,107438511,Boulder,Langosta,V3-,2.0,1,
356,107159814,Boulder,Cashew nut,V0-,2.0,1,
357,107112752,Boulder,"Awesome, or Hella Stupid?",V0,2.0,1,
358,106622403,Boulder,Big Slick Manzy,V0,2.0,1,
359,106624233,Boulder,Contrived Big Slick Manzy Direct,V0,2.0,1,
375,112227045,Boulder,Held In Contempt,V7-8,5.0,1,
376,112243032,Boulder,Piper Bicycle Michaelson,V6,5.0,1,
377,112243008,Boulder,Worst Case Ontario,V3-4,5.0,1,
378,112231390,Boulder,Extraterrestrial Spectacle,V4,5.0,1,
379,112227001,Boulder,Prison Break,V5,5.0,1,
382,108960251,Boulder,Rattled by the Rush,V7-,4.8,4,
383,106875946,Boulder,Sister Sharon,V0,4.6,7,
387,107412188,Boulder,Fight the Devil and Pray,V4,4.5,6,
